home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime
Puebla,Pachuca,,,2.0,2.0,1.0,0.0,2.0,2.0
Tigres UANL,Toluca,True,False,3.0,1.0,1.0,0.0,3.0,1.0
U.N.A.M. - Pumas,Club Queretaro,True,False,4.0,1.0,1.0,1.0,4.0,1.0
Club Tijuana,Guadalajara Chivas,False,True,1.0,2.0,0.0,0.0,1.0,2.0
Mazatlán,Atlas,True,False,1.0,0.0,1.0,0.0,1.0,0.0
Necaxa,Club America,False,True,1.0,2.0,1.0,0.0,1.0,2.0
FC Juarez,Monterrey,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Club Queretaro,Santos Laguna,,,3.0,3.0,2.0,1.0,3.0,3.0
Tigres UANL,Leon,False,True,0.0,1.0,0.0,1.0,0.0,1.0
Toluca,U.N.A.M. - Pumas,,,2.0,2.0,0.0,1.0,2.0,2.0
Guadalajara Chivas,Puebla,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Cruz Azul,Mazatlán,True,False,2.0,0.0,2.0,0.0,2.0,0.0
Atlas,Atletico San Luis,False,True,1.0,3.0,1.0,0.0,1.0,3.0
Pachuca,Club Tijuana,True,False,6.0,1.0,2.0,0.0,6.0,1.0
Puebla,Tigres UANL,True,False,2.0,1.0,2.0,1.0,2.0,1.0
Mazatlán,Toluca,,,1.0,1.0,1.0,0.0,1.0,1.0
Atletico San Luis,Pachuca,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Monterrey,Atlas,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Club America,Guadalajara Chivas,True,False,2.0,1.0,1.0,0.0,2.0,1.0
U.N.A.M. - Pumas,Cruz Azul,False,True,1.0,2.0,0.0,2.0,1.0,2.0
Santos Laguna,FC Juarez,True,False,2.0,0.0,1.0,0.0,2.0,0.0
Leon,Club Queretaro,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Club Tijuana,Necaxa,,,1.0,1.0,1.0,1.0,1.0,1.0
Toluca,Puebla,,,1.0,1.0,0.0,1.0,1.0,1.0
FC Juarez,Atletico San Luis,,,1.0,1.0,0.0,1.0,1.0,1.0
Guadalajara Chivas,Monterrey,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Club Queretaro,Club America,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Cruz Azul,Leon,True,False,2.0,1.0,0.0,0.0,2.0,1.0
U.N.A.M. - Pumas,Tigres UANL,,,1.0,1.0,0.0,0.0,1.0,1.0
Pachuca,Atlas,True,False,3.0,1.0,0.0,0.0,3.0,1.0
Club Tijuana,Santos Laguna,False,True,0.0,2.0,0.0,0.0,0.0,2.0
Necaxa,Mazatlán,,,2.0,2.0,1.0,2.0,2.0,2.0
Puebla,Club America,False,True,1.0,2.0,0.0,1.0,1.0,2.0
FC Juarez,U.N.A.M. - Pumas,True,False,3.0,1.0,2.0,1.0,3.0,1.0
Atletico San Luis,Tigres UANL,False,True,0.0,3.0,0.0,0.0,0.0,3.0
Monterrey,Pachuca,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,Necaxa,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Cruz Azul,Guadalajara Chivas,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Toluca,Club Queretaro,True,False,4.0,1.0,2.0,0.0,4.0,1.0
Santos Laguna,Mazatlán,True,False,3.0,0.0,0.0,0.0,3.0,0.0
Leon,Club Tijuana,,,2.0,2.0,0.0,0.0,2.0,2.0
Tigres UANL,Necaxa,True,False,2.0,0.0,0.0,0.0,2.0,0.0
Toluca,FC Juarez,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Cruz Azul,Leon,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Puebla,Guadalajara Chivas,True,False,1.0,1.0,0.0,0.0,1.0,1.0
Cruz Azul,Monterrey,,,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,Cruz Azul,True,False,3.0,0.0,1.0,0.0,3.0,0.0
Toluca,Santos Laguna,True,False,4.0,3.0,2.0,2.0,4.0,3.0
Santos Laguna,Toluca,False,True,1.0,2.0,0.0,0.0,1.0,2.0
Puebla,Club America,False,True,1.0,6.0,1.0,2.0,1.0,6.0
Club America,Puebla,True,False,5.0,1.0,2.0,1.0,5.0,1.0
Tigres UANL,Pachuca,True,False,1.0,0.0,0.0,0.0,1.0,0.0
Pachuca,Tigres UANL,True,False,2.0,1.0,1.0,0.0,2.0,1.0
Toluca,Club America,True,False,2.0,1.0,2.0,0.0,2.0,1.0
Club America,Toluca,,,1.0,1.0,1.0,1.0,1.0,1.0
Pachuca,Monterrey,True,False,5.0,2.0,2.0,2.0,5.0,2.0
Monterrey,Pachuca,False,True,0.0,1.0,0.0,0.0,0.0,1.0
Toluca,Pachuca,False,True,1.0,5.0,0.0,4.0,1.0,5.0
Pachuca,Toluca,True,False,3.0,1.0,1.0,1.0,3.0,1.0
Necaxa,Atletico San Luis,False,True,2.0,3.0,0.0,0.0,2.0,3.0
Mazatlán,Leon,False,True,1.0,2.0,1.0,1.0,1.0,2.0
Club America,Club Queretaro,,,0.0,0.0,0.0,0.0,0.0,0.0
Atlas,Toluca,,,0.0,0.0,0.0,0.0,0.0,0.0
Monterrey,Guadalajara Chivas,False,True,0.0,1.0,0.0,0.0,0.0,1.0
U.N.A.M. - Pumas,FC Juarez,True,False,2.0,1.0,0.0,1.0,2.0,1.0
Santos Laguna,Tigres UANL,False,True,0.0,3.0,0.0,1.0,0.0,3.0
Pachuca,Puebla,True,False,5.0,1.0,2.0,1.0,5.0,1.0
Club Tijuana,Cruz Azul,,,1.0,1.0,1.0,0.0,1.0,1.0
